,producto,fecha,pais,transporte,kg,tipo
406,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Israel,Marítimo,648000.0,import
407,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Israel,Marítimo,243000.0,import
36,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Francia,Carretera,61141273.63,import
37,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Francia,Carretera,71680522.05,import
38,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Francia,Carretera,72165315.33,import
39,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Francia,Carretera,57935136.17,import
40,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Francia,Carretera,38776906.43,import
41,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Francia,Carretera,19034254.04,import
50,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Países Bajos,Carretera,10974219.6,import
51,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Países Bajos,Carretera,9008401.75,import
52,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Países Bajos,Carretera,12660106.05,import
