,producto,fecha,pais,transporte,Ton,tipo
81,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Reino Unido,Carretera,166.68,import
82,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Reino Unido,Carretera,0.54,import
83,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Reino Unido,Carretera,6.44,import
91,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Dinamarca,Carretera,1.03,import
92,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Dinamarca,Carretera,0.21,import
93,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Dinamarca,Carretera,113.97,import
103,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Portugal,Marítimo,80.32,import
106,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Portugal,Marítimo,17.09,import
109,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Portugal,Carretera,3295.38,import
110,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Portugal,Carretera,3687.14,import
111,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Portugal,Carretera,363.29,import
112,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Portugal,Carretera,1118.02,import
113,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Portugal,Carretera,218.9,import
121,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Bélgica,Carretera,915.05,import
122,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Bélgica,Carretera,1026.95,import
123,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Bélgica,Carretera,18.44,import
124,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Bélgica,Carretera,220.84,import
125,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Bélgica,Carretera,89.07,import
134,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Suecia,Carretera,0.41,import
145,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Austria,Carretera,0.02,import
159,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Lituania,Carretera,0.3,import
160,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Lituania,Carretera,0.47,import
169,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Polonia,Carretera,60.19,import
170,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Polonia,Carretera,1143.06,import
171,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Polonia,Carretera,0.14,import
172,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Polonia,Carretera,122.72,import
183,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, República Checa,Carretera,0.6,import
184,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, República Checa,Carretera,0.12,import
185,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, República Checa,Carretera,19.8,import
194,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Ucrania,Carretera,17.92,import
207,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Eslovenia,Carretera,4.5,import
208,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Eslovenia,Carretera,2.53,import
209,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Eslovenia,Carretera,12.16,import
218,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Croacia,Carretera,4.15,import
229,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Marruecos,Marítimo,941.73,import
230,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Marruecos,Marítimo,1071.25,import
231,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Marruecos,Marítimo,5080.41,import
232,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Marruecos,Marítimo,1140.44,import
233,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Marruecos,Marítimo,2144.47,import
235,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Marruecos,Carretera,56.73,import
