,producto,fecha,pais,transporte,kg
290,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Estados Unidos, Carretera,1935.0
291,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Estados Unidos, Carretera,0.0
292,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Estados Unidos, Carretera,0.0
293,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Estados Unidos, Carretera,25650.0
302,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, México, Carretera,9.0
303,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, México, Carretera,0.0
304,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, México, Carretera,27.0
305,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, México, Carretera,0.0
306,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, México, Carretera,36.0
307,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, México, Carretera,23.0
316,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Ecuador, Aire,0.0
317,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Ecuador, Aire,0.0
318,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Ecuador, Aire,0.0
319,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Ecuador, Aire,0.0
320,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Ecuador, Aire,0.0
321,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Ecuador, Aire,5.0
330,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Chipre, Marítimo,26000.0
331,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Chipre, Marítimo,0.0
